year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
2023,Created by oror 2023,8,101.6,127,8237.0368,4.5,209.55,1.65,48.5,8.74,48.5,9.86,204.5,231,115.12,-2.62,aircraft/curtiss_ox5_503_v8.mr
2023,Created by oror 2023,12,150,160,33929.2007,6.9,265,1.6562,56.9,12.5,50.8,12.5,254,254,106,0,aircraft/db601_2070_v12.mr
2023,Created by oror 2023,12,162,180,44521.8971,6.9,306,1.7,59,14.1,54.4,14.1,290,290,92.5,9.5,aircraft/db603_2717_v12.mr
2023,Created by oror 2023,24,135,135,46376.9762,7,220,1.6296,60,12.5,53,12.5,290,290,92.5,9.5,aircraft/db604_2830_x24.mr
2023,Created by oror 2023,10,165,180,38488.437,6.9,306,1.7,66.5,14.1,63,14.1,290,290,92.5,9.5,aircraft/db6xx_2349_v10.mr
2023,Created by oror 2023,14,165,180,53883.8118,6.9,306,1.7,66.5,14.1,63,14.1,290,290,92.5,9.5,aircraft/db6xx_3288_v14.mr
2023,Created by oror 2023,18,130,180,43005.2618,5.2,335,1.8611,49,10.8,46,9.4,240,240,110,0,aircraft/farman_2651_w18.mr
2023,Created by oror 2023,6,160,180,21714.6884,4.31,325,1.8056,50.1,11.1,50.1,11.1,240,240,107.5,-2.5,aircraft/fiat_a12_1325_i6.mr
2023,Created by oror 2023,12,137.1981,152.4,27036.6132,7.25,266.7,1.75,53.848,12.7,48.26,12.7,255,275,97.5,5,aircraft/ford_gga_1650_v12.mr
2023,Created by oror 2023,6,135,180,15458.9921,5.06,320,1.7778,66,11.2,44,9.5,205,235,112.5,0,aircraft/hiero_943_i6.mr
2023,Created by oror 2023,18,150,170,54074.6635,5.8,275,1.6176,68,13,68,13,250,260,112.5,-2.5,aircraft/hs_18_3407_w18.mr
2023,Created by oror 2023,16,120,120,21714.6884,6,200,1.6667,50,12,50,12,250,250,105,0,aircraft/iam_m32_1325_v16.mr
2023,Created by oror 2023,12,150,165,34989.4882,6.6,280,1.697,50,17.272,65,16,252,296,99,3,aircraft/junkers_jumo211_2135_v12.mr
2023,Created by oror 2023,12,150,165,34989.4882,6.93,300,1.8182,50,17.272,65,16,282,345,103.25,3.25,aircraft/junkers_jumo213_2135_v12.mr
2023,Created by oror 2023,12,127,177.8,27027.7769,5.42,304.8,1.7143,69.85,11.1125,69.85,9.525,235,236,108.75,1.25,aircraft/liberty_l12_1649_v12.mr
2023,Created by oror 2023,24,133.4,120.7,40487.4153,6.5,228.6,1.894,62.7,12.7,56.8,12.7,240,255,108.75,3.75,aircraft/lycoming_xh2470_2471_h24.mr
2023,Created by oror 2023,36,161.925,171.45,127103.5507,8.5,358.775,2.0926,82.55,17.4625,82.55,17.4625,278,278,105,-3,aircraft/lycoming_xr7755_7756_r36.mr
2023,Created by oror 2023,12,150,170,36049.7757,5.95,275,1.6176,68,13,68,13,250,258,113,-2,aircraft/m100_2201_v12.mr
2023,Created by oror 2023,12,148,170,35094.8572,7.1,275,1.6176,55.3,13,67,13,250,260,112.5,-2.5,aircraft/m105_2143_v12.mr
2023,Created by oror 2023,12,148,170,35094.8572,6.75,275,1.6176,62,13,60,13,320,258,97.5,13.5,aircraft/m107_2142_v12.mr
2023,Created by oror 2023,5,125,140,8590.2924,5,270,1.9286,52,12,52,12,280,286,107,2,aircraft/m11_525_r5.mr
